1.1.1	धर्मक्षेत्रे कुरुक्षेत्रे
1.2.1	दृष्ट्वा तु पांडवानीकं
1.3.1	पश्यैतां पांडुपुत्राणाम्
1.4.1	अत्र शूरा महेष्वासाः
1.5.1	धृष्टकेतुश्चेकितानः
1.6.1	युधामन्युश्च विक्रांतः
1.7.1	अस्माकं तु विशिष्टा
1.8.1	भवान् भीष्मश्च कर्णश्च
1.9.1	अन्ये च बहवः शूराः
1.10.1	अपर्याप्तं तदस्माकं
1.11.1	अयनेषु च सर्वेषु
1.12.1	तस्य संजनयन् हर्षं
1.13.1	ततः शंखाश्च भेर्यश्च
1.14.1	ततः श्वेतैर्हयैर्युक्ते
1.15.1	पांचजन्यं हृषीकेशः
1.16.1	अनंतविजयं राजा
1.17.1	काश्यश्च परमेष्वासः
1.18.1	द्रुपदो द्रौपदेयाश्च
1.19.1	स घोषो धार्तराष्ट्राणां
1.20.1	अथ व्यवस्थितान्
1.21.1	हृषीकेशं तदा वाक्यम्
1.22.1	यावदेतान्निरीक्षेऽहं
1.23.1	योत्स्यमानानवेक्षेऽहं
1.24.1	एवमुक्तो हृषीकेशः
1.25.1	भीष्मद्रोणप्रमुखतः
1.26.1	तत्रापश्यत्स्थितान् पार्थः
1.27.1	श्वशुरान्-सुहृदश्चैव
1.28.1	कृपया परयाऽऽविष्टः
1.29.1	सीदंति मम गात्राणि
1.30.1	गांडीवं स्रंसते हस्तात्
1.31.1	निमित्तानि च पश्यामि
1.32.1	न कांक्षे विजयं कृष्ण
1.33.1	येषामर्थे कांक्षितं नः
1.34.1	आचार्याः पितरः पुत्राः
1.35.1	एतान्न हंतुमिच्छामि
1.36.1	निहत्य धार्तराष्ट्रान्नः
1.37.1	तस्मान्नार्हा वयं हंतुं
1.38.1	यद्यप्येते न पश्यंति
1.39.1	कथं न ज्ञेयमस्माभिः
1.40.1	कुलक्षये प्रणश्यंति
1.41.1	अधर्माभिभवात्कृष्ण
1.42.1	संकरो नरकायैव
1.43.1	दोषैरेतैः कुलघ्नानां
1.44.1	उत्सन्नकुलधर्माणां
1.45.1	अहो बत महत्पापं
1.46.1	यदि मामप्रतीकारम्
1.47.1	एवमुक्त्वाऽर्जुनः संख्ये
2.1.1	तं तथा कृपयाऽऽविष्टम्
2.2.1	कुतस्त्वा कश्मलमिदं
2.3.1	क्लैब्यं मा स्म गमः
2.4.1	कथं भीष्ममहं संख्ये
2.5.1	गुरूनहत्वा हि महानुभावान्
2.6.1	न चैतद्विद्मः कतरन्नो गरीयः
2.7.1	कार्पण्यदोषोपहतस्वभावः
2.8.1	न हि प्रपश्यामि ममापनुद्यात्
2.9.1	एवमुक्त्वा हृषीकेशं
2.10.1	तमुवाच हृषीकेशः
2.11.1	अशोच्यानन्वशोचस्त्वं
2.12.1	न त्वेवाहं जातु नासं
2.13.1	देहिनोऽस्मिन्यथा देहे
2.14.1	मात्रास्पर्शास्तु कौंते
2.15.1	यं हि न व्यथयंत्येते
2.16.1	नासतो विद्यते भावः
2.17.1	अविनाशि तु तद्विद्धि
2.18.1	अंतवंत इमे देहाः
2.19.1	य एनं वेत्ति हंतारं
2.20.1	न जायते म्रियते वा कदाचित्
2.21.1	वेदाविनाशिनं नित्यं
2.22.1	वासांसि जीर्णानि यथा विहाय
2.23.1	नैनं छिंदंति शस्त्राणि
2.24.1	अच्छेद्योऽयमदाह्योऽयम्
2.25.1	अव्यक्तोऽयमचिंत्योऽयम्
2.26.1	अथ चैनं नित्यजातं
2.27.1	जातस्य हि ध्रुवो मृत्युः
2.28.1	अव्यक्तादीनि भूतानि
2.29.1	आश्चर्यवत्पश्यति कश्चिदेनं
2.30.1	देही नित्यमवध्योऽयं
2.31.1	स्वधर्ममपि चावेक्ष्य
2.32.1	यदृच्छया चोपपन्नं
