1.1.1	ధర్మక్షేత్రే కురుక్షేత్రే
1.2.1	దృష్ట్వా తు పాండవానీకం
1.3.1	పశ్యైతాం పాండుపుత్రాణాం
1.4.1	అత్ర శూరా మహేష్వాసాః
1.5.1	ధృష్టకేతుశ్చేకితానః
1.6.1	యుధామన్యుశ్చ విక్రాంతః
1.7.1	అస్మాకం తు విశిష్టా
1.8.1	భవాన్ భీష్మశ్చ కర్ణశ్చ
1.9.1	అన్యే చ బహవః శూరాః
1.10.1	అపర్యాప్తం తదస్మాకం
1.11.1	అయనేషు చ సర్వేషు
1.12.1	తస్య సంజనయన్ హర్షం
1.13.1	తతః శంఖాశ్చ భేర్యశ్చ
1.14.1	తతః శ్వేతైర్హయైర్యు
1.15.1	పాంచజన్యం హృషీకేశః
1.16.1	అనంతవిజయం రాజా
1.17.1	కాశ్యశ్చ పరమేష్వాసః
1.18.1	ద్రుపదో ద్రౌపదేయాశ్చ
1.19.1	స ఘోషో ధార్తరాష్ట్రాణాం
1.20.1	అథ వ్యవస్థితాన్-దృష్ట్వా
1.21.1	హృషీకేశం తదా వాక్యం
1.22.1	యావదేతాన్నిరీక్షేఽహం
1.23.1	యోత్స్యమానానవేక్షేఽహం
1.24.1	ఏవముక్తో హృషీకేశః
1.25.1	భీష్మద్రోణప్రముఖతః
1.26.1	తత్రాపశ్యత్స్థితాన్ పార్థః
1.27.1	శ్వశురాన్-సుహృదశ్చైవ
1.28.1	కృపయా పరయాఽఽవిష్టః
1.29.1	సీదంతి మమ గాత్రాణి
1.30.1	గాండీవం స్రంసతే హస్తాత్
1.31.1	నిమిత్తాని చ పశ్యామి
1.32.1	న కాంక్షే విజయం కృష్ణ
1.33.1	యేషామర్థే కాంక్షితం నః
1.34.1	ఆచార్యాః పితరః పుత్రాః
1.35.1	ఏతాన్న హంతుమిచ్ఛామి
1.36.1	నిహత్య ధార్తరాష్ట్రాన్నః
1.37.1	తస్మాన్నార్హా వయం హంతుం
1.38.1	యద్యప్యేతే న పశ్యంతి
1.39.1	కథం న జ్ఞేయమస్మాభిః
1.40.1	కులక్షయే ప్రణశ్యంతి
1.41.1	అధర్మాభిభవాత్కృష్ణ
1.42.1	సంకరో నరకాయైవ
1.43.1	దోషైరేతైః కులఘ్నానాం
1.44.1	ఉత్సన్నకులధర్మాణాం
1.45.1	అహో బత మహత్పాపం
1.46.1	యది మామప్రతీకారం
1.47.1	ఏవముక్త్వాఽర్జునః సంఖ్యే
2.1.1	తం తథా కృపయాఽఽవిష్టం
2.2.1	కుతస్త్వా కశ్మలమిదం
2.3.1	క్లైబ్యం మా స్మ గమః పార్థ
2.4.1	కథం భీష్మమహం సంఖ్యే
2.5.1	గురూనహత్వా హి మహానుభావాన్
2.6.1	న చైతద్విద్మః కతరన్నో గరీయః
2.7.1	కార్పణ్యదోషోపహతస్వభావః
2.8.1	న హి ప్రపశ్యామి మమాపనుద్యాత్
2.9.1	ఏవముక్త్వా హృషీకేశం
2.10.1	తమువాచ హృషీకేశః
2.11.1	అశోచ్యానన్వశోచస్త్వం
2.12.1	న త్వేవాహం జాతు నాసం
2.13.1	దేహినోఽస్మిన్యథా దేహే
2.14.1	మాత్రాస్పర్శాస్తు కౌంతేయ
2.15.1	యం హి న వ్యథయంత్యేతే
2.16.1	నాసతో విద్యతే భావః
2.17.1	అవినాశి తు తద్విద్ధి
2.18.1	అంతవంత ఇమే దేహాః
2.19.1	య ఏనం వేత్తి హంతారం
2.20.1	న జాయతే మ్రియతే వా
2.21.1	వేదావినాశినం నిత్యం
2.22.1	వాసాంసి జీర్ణాని యథా విహాయ
2.23.1	నైనం ఛిందంతి శస్త్రాణి
2.24.1	అచ్ఛేద్యోఽయమదాహ్యోఽయం
2.25.1	అవ్యక్తోఽయమచింత్యోఽయం
2.26.1	అథ చైనం నిత్యజాతం
2.27.1	జాతస్య హి ధ్రువో మృత్యుః
2.28.1	అవ్యక్తాదీని భూతాని
2.29.1	ఆశ్చర్యవత్పశ్యతి కశ్చిదేనం
2.30.1	దేహీ నిత్యమవధ్యోఽయం
2.31.1	స్వధర్మమపి చావేక్ష్య
2.32.1	యదృచ్ఛయా చోపపన్నం
2.33.1	అథ చేత్త్వమిమం ధర్మ్యం
2.34.1	అకీర్తిం చాపి భూతాని
2.35.1	భయాద్రణాదుపరతం
2.36.1	అవాచ్యవాదాంశ్చ బహూన్
2.37.1	హతో వా ప్రాప్స్యసి స్వర్గం
2.38.1	సుఖదుఃఖే సమే కృత్వా
2.39.1	ఏషా తేఽభిహితా సాంఖ్యే
2.40.1	నేహాభిక్రమనాశోఽస్తి
2.41.1	వ్యవసాయాత్మికా బుద్ధిః
2.42.1	యామిమాం పుష్పితాం వాచం
2.43.1	కామాత్మానః స్వర్గపరాః
2.44.1	భోగైశ్వర్యప్రసక్తానాం
2.45.1	త్రైగుణ్యవిషయా వేదాః
2.46.1	యావానర్థ ఉదపానే
2.47.1	కర్మణ్యేవాధికారస్తే
2.48.1	యోగస్థః కురు కర్మాణి
2.49.1	దూరేణ హ్యవరం కర్మ
2.50.1	బుద్ధియుక్తో జహాతీహ
2.51.1	కర్మజం బుద్ధియుక్తా హి
2.52.1	యదా తే మోహకలిలం
2.53.1	శ్రుతివిప్రతిపన్నా తే 
2.54.1	స్థితప్రజ్ఞస్య కా భాషా
